"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID"
100,"Steven","King","SKING","1.515.555.0100","2013-06-17T00:00:00Z","AD_PRES",24000,,,90
101,"Neena","Yang","NYANG","1.515.555.0101","2015-09-21T00:00:00Z","AD_VP",17000,,100,90
102,"Lex","Garcia","LGARCIA","1.515.555.0102","2011-01-13T00:00:00Z","AD_VP",17000,,100,90
103,"Alexander","James","AJAMES","1.590.555.0103","2016-01-03T00:00:00Z","IT_PROG",9000,,102,60
104,"Bruce","Miller","BMILLER","1.590.555.0104","2017-05-21T00:00:00Z","IT_PROG",6000,,103,60
105,"David","Williams","DWILLIAMS","1.590.555.0105","2015-06-25T00:00:00Z","IT_PROG",4800,,103,60
106,"Valli","Jackson","VJACKSON","1.590.555.0106","2016-02-05T00:00:00Z","IT_PROG",4800,,103,60
107,"Diana","Nguyen","DNGUYEN","1.590.555.0107","2017-02-07T00:00:00Z","IT_PROG",4200,,103,60
114,"Den","Li","DLI","1.515.555.0114","2012-12-07T00:00:00Z","PU_MAN",11000,,100,30
115,"Alexander","Khoo","AKHOO","1.515.555.0115","2013-05-18T00:00:00Z","PU_CLERK",3100,,114,30
116,"Shelli","Baida","SBAIDA","1.515.555.0116","2015-12-24T00:00:00Z","PU_CLERK",2900,,114,30
117,"Sigal","Tobias","STOBIAS","1.515.555.0117","2015-07-24T00:00:00Z","PU_CLERK",2800,,114,30
118,"Guy","Himuro","GHIMURO","1.515.555.0118","2016-11-15T00:00:00Z","PU_CLERK",2600,,114,30
119,"Karen","Colmenares","KCOLMENA","1.515.555.0119","2017-08-10T00:00:00Z","PU_CLERK",2500,,114,30
200,"Jennifer","Whalen","JWHALEN","1.515.555.0165","2013-09-17T00:00:00Z","AD_ASST",4400,,101,10
201,"Michael","Martinez","MMARTINE","1.515.555.0166","2014-02-17T00:00:00Z","MK_MAN",13000,,100,20
202,"Pat","Davis","PDAVIS","1.603.555.0167","2015-08-17T00:00:00Z","MK_REP",6000,,201,20
203,"Susan","Jacobs","SJACOBS","1.515.555.0168","2012-06-07T00:00:00Z","HR_REP",6500,,101,40
204,"Hermann","Brown","HBROWN","1.515.555.0169","2012-06-07T00:00:00Z","PR_REP",10000,,101,70
205,"Shelley","Higgins","SHIGGINS","1.515.555.0170","2012-06-07T00:00:00Z","AC_MGR",12008,,101,110
206,"William","Gietz","WGIETZ","1.515.555.0171","2012-06-07T00:00:00Z","AC_ACCOUNT",8300,,205,110
